[21-Apr-2013 01:44:59]  <CharlaGM> Thaaaaat's everyone then.
[21-Apr-2013 01:45:06]  <CharlaGM> Alright chums Let's do this
[21-Apr-2013 01:45:09]  <CharlaGM> LEEROOOOOOOOOOOOOOOOOOOOY
[21-Apr-2013 01:45:12]  <CharlaGM> JEEEEEEEEENKIIIIIINS
[21-Apr-2013 01:45:19]  <TrooperBlake> I was tempted to say that, but
[21-Apr-2013 01:46:23]  <Alan_Walsh> Shit yes.
[21-Apr-2013 01:48:04]  <CharlaGM> Sensation slowly returns to your bodies as the cryopods on deck 4 of the TEFSC Captain Morgan's Revenge slowly open. LT Fendel apparently woke up way before anyone else, as her enthusiastic screams of "RISE AND SHINE YOU FUCKING SLOWPOKE ASSHOLES" mixes in with the hiss of the cryopods degassing.
[21-Apr-2013 01:48:24]  <Lin_Chong> Oh God. Coffee.
[21-Apr-2013 01:49:37]  <CharlaGM> "WE AIN'T GOT NO COFFEE YET CAUSE I DIDN'T NEED ANY. HERRY UP AND GO MAKE YOURSELVES SOME YOU LAZY SHITS!"
[21-Apr-2013 01:49:56]  *** BGTB2005 <~BGT@pool-96-254-124-236.tampfl.fios.verizon.net> has joined #madokamadness
[21-Apr-2013 01:49:57]  *** Xeniera <~Solstace@71-222-72-20.ptld.qwest.net> has joined #madokamadness
[21-Apr-2013 01:49:57]  *** ChanServ sets mode: +o Xeniera
[21-Apr-2013 01:50:09]  <Lin_Chong> (why is this thing the Captain Morgan's Revenge?)
[21-Apr-2013 01:50:16]  * TrooperBlake stretches
[21-Apr-2013 01:50:20]  <Alan_Walsh> I say something, though it's hard to discern it as anything other than a groan.
[21-Apr-2013 01:50:29]  <TrooperBlake> Good morning America, or wherever the hell we are!
[21-Apr-2013 01:50:56]  <CharlaGM> (Lin_Chong: My naming scheme for ships is to name them after metal songs. Curse of Captain Morgan is the name of an Alestorm song.)
[21-Apr-2013 01:51:27]  <Lin_Chong> oh okay
[21-Apr-2013 01:51:32]  <BGT316|Amemiya> 15And planets?
[21-Apr-2013 01:51:36]  <CharlaGM> "PLANET SEAWOLF!"
[21-Apr-2013 01:51:42]  <CharlaGM> (BGTB: Name them after bands.)
[21-Apr-2013 01:52:02]  <Alan_Walsh> "Seewulf?"
[21-Apr-2013 01:52:05]  <BGT316|Amemiya> 15Should we expect one named 'Demetori'?
[21-Apr-2013 01:52:09]  <TrooperBlake> The hell kinda name is that?
[21-Apr-2013 01:52:10]  <Alan_Walsh> "...Huh."
[21-Apr-2013 01:52:23]  <Cpldrake> Sea wolf? Sounds like something that I could eat. or a sex position. I could use either
[21-Apr-2013 01:52:31]  <CharlaGM> (For the sake of ease of differentiating OOC from IC chat, let's try to keep OOC chat in parantheses.)
[21-Apr-2013 01:52:38]  <TrooperBlake> (Gotcha.)
[21-Apr-2013 01:52:44]  <BGT316|Amemiya> (works)
[21-Apr-2013 01:52:45]  <Alan_Walsh> (Sounds good to me.)
[21-Apr-2013 01:52:48]  <Lin_Chong> Aren't sea-wolves ubermenschen?
[21-Apr-2013 01:52:52]  <Cpldrake> (Everything burns)
[21-Apr-2013 01:53:10]  *** CentralAve <~CentralAv@cpe-75-179-190-171.insight.res.rr.com> has left #madokamadness
[21-Apr-2013 01:53:12]  <Alan_Walsh> "The fuck is an 'Ubermenschen'?"
[21-Apr-2013 01:53:28]  <CharlaGM> "IT'S THE KINDA NAME THAT SOMEONE WHO FUCKING LOVES BEACHES GIVES TO A PLANET. I DUNNO, ASK THE FUCKING CAPTAIN."
[21-Apr-2013 01:53:45]  <TrooperBlake> Are we getting a vacation, then?
[21-Apr-2013 01:53:45]  <Lin_Chong> It's a superior man.
[21-Apr-2013 01:53:54]  <Lin_Chong> In multiple respects.
[21-Apr-2013 01:53:58]  <CharlaGM> "FUCK YES WE ARE, BLAKE! BUT FIRST WE GOTTA KILL SHARK PEOPLE!"
[21-Apr-2013 01:54:02]  <Cpldrake> It means over-man, its about people who think they are better than others
