[11-Sep-2011 22:38:12]  <Gendo> GET LEADY!  
[11-Sep-2011 22:38:14]  <Osip_Zhgun[Barcode]> unit four, ready
[11-Sep-2011 22:38:15]  <Gendo> GET SET!
[11-Sep-2011 22:38:19]  <Gendo> RET'S GO!
[11-Sep-2011 22:38:19]  <Motoko> 準備できたよ
[11-Sep-2011 22:39:25]  <Gendo> Okay, so, recap:  You guys know Angel is coming soon.  
[11-Sep-2011 22:39:32]  <Gendo> You've been moved into your apartments.
[11-Sep-2011 22:39:37]  <Lou> Yes, the melty one
[11-Sep-2011 22:39:45]  <Gendo> Combat training is today.
[11-Sep-2011 22:39:49]  <Cassie> Spoilers!
[11-Sep-2011 22:39:52]  <Lou> Finally.
[11-Sep-2011 22:39:58]  <Motoko> 何ですって？！
[11-Sep-2011 22:40:06]  <Gendo> Motoko: Don't do that.
[11-Sep-2011 22:40:09]  <Gendo> >:|
[11-Sep-2011 22:40:19]  <Osip_Zhgun[Barcode]> [Combat training is ready? also, I am now retconned into a handler right]
[11-Sep-2011 22:40:24]  <Motoko> Gendo: But we're still in metamode, right? :D
[11-Sep-2011 22:40:26]  <Loki_Weyland> We're recording, I take it?
[11-Sep-2011 22:40:30]  <Gendo> Osip_Zhgun[Barcode]: Yup.
[11-Sep-2011 22:40:34]  <Loki_Weyland> Gotta look good for the chat logs!
[11-Sep-2011 22:40:46]  <Gendo> Loki_Weyland: ???
[11-Sep-2011 22:40:54]  <Lou> [Brackets are initiated]
[11-Sep-2011 22:41:06]  <Lou> [Gendo: The prose adaption, which is due out on shelves in February]
[11-Sep-2011 22:41:12]  <Lou> [*adaptation]
[11-Sep-2011 22:41:14]  <Gendo> Oh.
[11-Sep-2011 22:41:15]  <Osip_Zhgun[Barcode]> [who am I in charge of? Gents, I suppose?]
[11-Sep-2011 22:41:23]  <Gendo> Osip_Zhgun[Barcode]: Yah.
[11-Sep-2011 22:41:34]  <Osip_Zhgun[Barcode]> !roll 1d100
[11-Sep-2011 22:41:34]  <GameServ> 56 == 56
[11-Sep-2011 22:41:36]  <JackMackerel> Motoko: X-Chat doesn't have language logs, fuckass.
[11-Sep-2011 22:41:46]  <Loki_Weyland> Pidgin does!
[11-Sep-2011 22:41:51]  <JackMackerel> Pidgin sux.
[11-Sep-2011 22:41:52]  <Osip_Zhgun[Barcode]> [great. so, I got 1 degree of failure on depression today. one sec]
[11-Sep-2011 22:41:55]  <Loki_Weyland> And I'm pretty sure Motoko's recording stuff too.
[11-Sep-2011 22:41:59]  <Motoko> JackMackerel: Language logs? What?
[11-Sep-2011 22:42:00]  <Osip_Zhgun[Barcode]> [I mean continue but]
[11-Sep-2011 22:42:01]  <Loki_Weyland> JackMackerel: It's what works for me.
[11-Sep-2011 22:42:07]  <JackMackerel> I meant packs.
[11-Sep-2011 22:42:10]  <JackMackerel> Shush, you.
[11-Sep-2011 22:42:15]  <Loki_Weyland> No!
[11-Sep-2011 22:42:26]  <Osip_Zhgun[Barcode]> !roll 1d5
[11-Sep-2011 22:42:26]  <GameServ> 1 == 1
[11-Sep-2011 22:42:33]  <Loki_Weyland> Ouch.
[11-Sep-2011 22:42:36]  <Loki_Weyland> Or is that good?
[11-Sep-2011 22:42:39]  <Osip_Zhgun[Barcode]> [okay. 2 hours of 1 fatigue due to depression. just fyi all~]
[11-Sep-2011 22:42:44]  <Motoko> 14JackMackerel: It's not like you would understand anyway!
[11-Sep-2011 22:42:53]  <Osip_Zhgun[Barcode]> [it was good. the d5 counts depression hours on top of my failure degrees]
[11-Sep-2011 22:43:02]  <Gendo> So, combat training starts today.
[11-Sep-2011 22:43:16]  <Gendo> You've gone through the daily motions and teasing and what all.
[11-Sep-2011 22:43:27]  <Loki_Weyland> Right.
[11-Sep-2011 22:43:39]  <Gendo> This scene starts in the changing rooms.  You're scheduled to do simulations inside the entry plugs today.
[11-Sep-2011 22:43:41]  <Motoko> 14We're not roleplaying the teasing? But that's the best part!
[11-Sep-2011 22:43:54]  <Gendo> Motoko: [I made allowances, see?]
[11-Sep-2011 22:44:21]  <Osip_Zhgun[Barcode]> [Suppose I'm off somewhere else, then? just requiring coolant vest and all, or are we assuming some plugsuity application is required for the trident too / I mean, well, having to change with kids is a little]
[11-Sep-2011 22:44:43]  <Cassie> [Love knows no age or gender!]
[11-Sep-2011 22:44:55]  <Motoko> 14I forgot how much of my little Jackie/Loki thing was roleplay and how much was out-of-game teasing. It even rhymes, almost!
[11-Sep-2011 22:44:57]  <Gendo> Osip_Zhgun[Barcode]: [I'll leave that up to you.  Did JBridge talk to you about TRIDENT stuff yet?]
[11-Sep-2011 22:45:08]  <Loki_Weyland> No.
[11-Sep-2011 22:45:09]  <JackMackerel> (Motoko: wat)
[11-Sep-2011 22:45:13]  <Osip_Zhgun[Barcode]> [didn't hear anything. I made a little tech writeup, I mighta told you about it, Loki?]
[11-Sep-2011 22:45:27]  <Loki_Weyland> Specifically, I need to know whether the TRIDENT is next to the EVAs in the Cages.
[11-Sep-2011 22:45:36]  <Loki_Weyland> And yeah, you did tell me about it.
[11-Sep-2011 22:45:52]  <Gendo> Osip_Zhgun[Barcode]: [I figured you're most knowledgeable for that >.>]
[11-Sep-2011 22:45:53]  * JackMackerel spins that damn knife of hers, whistling Twisted Nerve, already dressed and watching the other ladies.
[11-Sep-2011 22:46:01]  <Osip_Zhgun[Barcode]> [ :3 ]
[11-Sep-2011 22:46:15]  <Loki_Weyland> $ Oh, right. We're in character now.
[11-Sep-2011 22:46:19]  <Loki_Weyland> $ Sorry!
[11-Sep-2011 22:46:19]  <Cassie> "Jaqueline... do you wear your plug suit under your normal clothes?"
[11-Sep-2011 22:46:20]  * Lou is also ready and waiting.
[11-Sep-2011 22:46:30]  <Osip_Zhgun[Barcode]> [Oh, those like padded cell rooms? it seems like it'd do better in a hangar - it doesn't really have to be contained, it's a machine.]
[11-Sep-2011 22:46:33]  * Loki_Weyland is in his plugsuit and ready.
[11-Sep-2011 22:46:45]  * Motoko is already dressed, somehow14, because I don't know what's going on so I thought that would be expedient
[11-Sep-2011 22:46:52]  <Loki_Weyland> Well, as ready as I'll ever be for that torture.
[11-Sep-2011 22:47:05]  <Lou> Is it that bad?
[11-Sep-2011 22:47:18]  <Gendo> [I don't think I'll detail the torture again.  Because I'm kind of lazy right now >.>]
[11-Sep-2011 22:47:32]  <Loki_Weyland> $ Heh.
[11-Sep-2011 22:47:46]  <JackMackerel> "Er... what?"
[11-Sep-2011 22:48:19]  * JackMackerel blinks. "I just finished dressing, or did something happen with your perception of time...?"
[11-Sep-2011 22:48:23]  <Osip_Zhgun[Barcode]> [I don't think even NERV would be okay with me changing with the kids but I guess we could say for ease of RPing I need some sorta plugstylesuit to map my actions to the TRIDENT's. but I also don't need synch tests]
[11-Sep-2011 22:48:35]  <Osip_Zhgun[Barcode]> [I mean it'sj ust like a public pool changing room right]
[11-Sep-2011 22:48:45]  <Cassie> "Just how you got dressed so fast... sorry pilot Jaqueline, I wasn't paying attention.
[11-Sep-2011 22:48:45]  <Motoko> 14$x^\frac{1}{2}$
[11-Sep-2011 22:48:50]  <Gendo> Osip_Zhgun[Barcode]: [Yeah, pretty much.]
[11-Sep-2011 22:49:16]  <Osip_Zhgun[Barcode]> [yeah, fuck it then. TRIDENT has a buncha biometric bullshit that plugs into a plugsuitlike apparatus. No mechwarrior-ripping-off neurohelmet-only stuff I guess]
[11-Sep-2011 22:49:33]  <Loki_Weyland> $ Cyberbrains!
[11-Sep-2011 22:49:44]  <Loki_Weyland> "So, we all ready to go?"
[11-Sep-2011 22:49:45]  * Osip_Zhgun[Barcode] quietly changes into his synch-suit. [there because I had to be different]
