[16-Sep-2011 05:14:19]  <Jaqueline_de_Maquerel> ((IC MODE ON))
[16-Sep-2011 05:14:25]  <Loki_Weyland> $ Right!
[16-Sep-2011 05:14:59]  *** Teargarden is now known as Tyrgardenz
[16-Sep-2011 05:15:04]  <Loki_Weyland> Loki holds the practice knife loosely by one handle.
[16-Sep-2011 05:15:09]  * Jaqueline_de_Maquerel raps at Loki's door.
[16-Sep-2011 05:15:16]  <Loki_Weyland> Yeah?
[16-Sep-2011 05:15:23]  <Jaqueline_de_Maquerel> "Knock knock? Who's there~? Me me me me me me me..."
[16-Sep-2011 05:15:23]  <Loki_Weyland> $ Nix the first line.
[16-Sep-2011 05:15:51]  <Loki_Weyland> Loki runs over to the door and opens it.
[16-Sep-2011 05:16:04]  <Loki_Weyland> "Hey."
[16-Sep-2011 05:16:07]  <Jaqueline_de_Maquerel> "Here's Jackie~"
[16-Sep-2011 05:16:08]  <Loki_Weyland> "Time for the lesson, then?"
[16-Sep-2011 05:16:26]  <Loki_Weyland> "This'll be fun, I'm sure. And painful."
[16-Sep-2011 05:16:41]  * Jaqueline_de_Maquerel nods, and hefts a... is that a training dummy? It looks life-like and realistically jointed... and has a great number of slashes, most at the throat or stomach.
[16-Sep-2011 05:16:58]  <Loki_Weyland> Loki raises his eyebrows.
[16-Sep-2011 05:17:31]  <Jaqueline_de_Maquerel> Figured we'd do more blade tricks with it, too~. See, butterfly knives get a rap because they're harder to grip than most knives.
[16-Sep-2011 05:17:49]  <Loki_Weyland> "That's the point of butterfly knife tricks, isn't it?"
[16-Sep-2011 05:18:37]  * Jaqueline_de_Maquerel nodnods. "Kinda hard to manipulate it when there's a good grip. Plus, it was made to be manipulated with one hand.
[16-Sep-2011 05:19:09]  <Jaqueline_de_Maquerel> And it depends on the knife, too, see.
[16-Sep-2011 05:19:15]  <Loki_Weyland> "Looks like it, yeah."
[16-Sep-2011 05:19:24]  * Jaqueline_de_Maquerel drops the dummy in a corner and drops a duffle bag on the floor. Heavily.
[16-Sep-2011 05:19:25]  <Loki_Weyland> "I'm ambidextrous, by the way."
[16-Sep-2011 05:19:47]  * Jaqueline_de_Maquerel opens the bag. "Ah, really~? That's a plus. Easier to do multihanded tricks~"
[16-Sep-2011 05:20:01]  <Jaqueline_de_Maquerel> (( Man, I'm making her way too friendly and not creepy enough. ))
[16-Sep-2011 05:20:09]  <Tyrgardenz> [rape]
[16-Sep-2011 05:20:14]  <Loki_Weyland> "Erm, shouldn't those be saved for later? I mean, I've never really done this before."
[16-Sep-2011 05:20:21]  <Tyrgardenz> [innuendo]
