[17-Jun-2012 20:09:18]  <Motoko`kaseijin> All right, let's get started, then.
[17-Jun-2012 20:10:19]  <Motoko`kaseijin> Things were rather tense last night, what with the specter of an unsolved murder hanging on everyone's minds, but you were able to get a long, if fitful, sleep.
[17-Jun-2012 20:11:01]  <Motoko`kaseijin> Today, you're headed back to Brother Eliezer's place in order to make some headway on finding out who killed Brother Jules, and why.
[17-Jun-2012 20:11:56]  <Motoko`kaseijin> Brother Eliezer is waiting outside of the local officials' post. He looks somewhat weary, but also relieved. Evidently, knowing that the agricultural units will hold out a little longer has eased his worries.
[17-Jun-2012 20:13:59]  <Motoko`kaseijin> "Good morning, brothers," he says, waving to you as you approach. "Were you able to rest well? I hope the accommodations were adequate. You likely deserved better, but that's all we had..." **
[17-Jun-2012 20:15:25]  <Gideon> "They were fine," Gideon says, waving off the man's flattery. He isn't pleased with having given Jules' murderer another night to hide, but it couldn't be helped.
[17-Jun-2012 20:15:32]  <Rashi> "We've been sleeping under the stars, Brother Eliezer.  Any accomodation is quite welcome."  Rashi smiles.
[17-Jun-2012 20:16:46]  <Motoko`kaseijin> 14"it couldn't be helped" // Gideon's got some Japanese blood in him, it looks like. ^_~
[17-Jun-2012 20:17:05]  <Rashi> [that expression bugs the hell out of me >_>]
[17-Jun-2012 20:17:19]  <Gideon> (hm?)
[17-Jun-2012 20:18:08]  <Rashi> [nevermind]
[17-Jun-2012 20:19:13]  <Motoko`kaseijin> "That's good to hear," Brother Eliezer says. "I'm going to bring you to talk to our branch Steward, Brother Leslie.
[17-Jun-2012 20:21:10]  <Motoko`kaseijin> "He's not yet been able to get much closer to the truth of Brother Jules' death than any of the rest of us have, but I have faith that the King of Life will illuminate his path."
[17-Jun-2012 20:21:48]  *** Barcode is now known as Barcathon
[17-Jun-2012 20:22:06]  * Rashi nods.
[17-Jun-2012 20:22:22]  <Motoko`kaseijin> Brother Eliezer walks into the officials' post, and up some rickety wooden steps to the small second-floor space.
[17-Jun-2012 20:23:10]  <Motoko`kaseijin> Brother Leslie is an older man. The glint of experience reflects from his eyes. He has clearly been Steward for a long time.
[17-Jun-2012 20:23:38]  <Motoko`kaseijin> "Thank you, Brother Eliezer," he says, sending the younger man off.
[17-Jun-2012 20:24:34]  <Motoko`kaseijin> Rashi and Gideon take their respective improptu seats on a pair of wooden crates, at the Steward's invitation.
[17-Jun-2012 20:25:13]  <Motoko`kaseijin> "I wish we were able to meet under better circumstances, brothers." **
[17-Jun-2012 20:30:06]  * Motoko`kaseijin idly prods Rashi and Gideon
[17-Jun-2012 20:30:07]  * Rashi glances at Gideon before saying "Likewise, Steward."
[17-Jun-2012 20:30:59]  <Motoko`kaseijin> 14I have this mental image now of Gideon falling asleep until Rashi pokes him in the side.
[17-Jun-2012 20:31:22]  <Gideon> Gideon is momentarily hung up on the fact that his position as a Dog puts him above a Steward, a person who has always been in charge of him until now. After a moment he recovers, "Yes, it's very unfortunate."
[17-Jun-2012 20:31:58]  <Motoko`kaseijin> 14That works too.
[17-Jun-2012 20:33:08]  <Gideon> (Was kind of caught on what to say. I want Gideon to be kind of brash and rough with people, but Stewards are kind of supposed to be respected. So yeah.)
