[27-Jan-2013 20:12:43]  <IllFlower> and we're off.
[27-Jan-2013 20:13:49]  <IllFlower> Sunday evening. Yuna's gathered the other initiates in the park. Aoi excepted; it looks like he's gone off somewhere with his girlfriend. (of all the days, right?)
[27-Jan-2013 20:13:49]  <Miaka_Watanabe[Barcode]> ((I keep forgetting illflower's typing affords me plenty of time to simultaneously do stats homework))
[27-Jan-2013 20:14:10]  <Yuna> ((ack, I hope they feel better too))
[27-Jan-2013 20:14:24]  <Sumire> "So what's the plan from here?"
[27-Jan-2013 20:14:35]  <Miaka_Watanabe[Barcode]> ((she's told us everything, right?))
[27-Jan-2013 20:14:43]  <IllFlower> Yuna's voice is tired, likely from having gotten virtually zero sleep, but explains what she learned from visiting Haruka the previous night.
[27-Jan-2013 20:14:49]  <Miaka_Watanabe[Barcode]> ((oh.))
[27-Jan-2013 20:15:00]  <buttercupistiny> ((remember the **))
[27-Jan-2013 20:15:02]  <IllFlower> chatter. go. **
[27-Jan-2013 20:15:04]  <Sumire> 14I have yet to read the logs; what did she learn?
[27-Jan-2013 20:15:04]  <Miaka_Watanabe[Barcode]> ((mhm))
[27-Jan-2013 20:15:25]  <Miaka_Watanabe[Barcode]> ((sumire - oh boy. well, ctrl-f "feed"))
[27-Jan-2013 20:15:54]  * Miaka_Watanabe[Barcode] shows extreme consternation. "So...she's been behind these killings...?"
[27-Jan-2013 20:16:17]  <Yuna> I... I can't think of anything else that makes sense..
[27-Jan-2013 20:16:17]  <IllFlower> Sumire: in brief: Kei is responsible for Namie and Tadashi's deaths. she's also a magical girl.
[27-Jan-2013 20:18:33]  <Miaka_Watanabe[Barcode]> "I just don't know what to think. She's not a witch, but she's murdered our classmates...what should we do?" Miaka glances aside, almost muttering. "If we have to fight her...what then?"
[27-Jan-2013 20:19:23]  <Sumire> «It'd be nice if we could just take her down nonlethally and give her to the justice system, but somehow I don't think we'd be able to get a conviction for "magical murder"...»
[27-Jan-2013 20:21:09]  <Yuna> Y-yeah... on the one hand it feels like vigilante justice is just doing the same thing she is... but... I don't feel like we have much of a choice...
[27-Jan-2013 20:21:51]  <Yui> I'm with you on that, Yuna. It's not a very comfortable place to be, but it's not like the proper authorities can handle this one.
[27-Jan-2013 20:22:21]  <Sumire> "Of course, this is all moot if we don't know how to actually find this Kei person..."
[27-Jan-2013 20:22:32]  * Miaka_Watanabe[Barcode] nods. "If we save her...will she still be able to fight witches? Is that even fair? I mean, I didn't exactly come here with plans for a magical judicial system..."
[27-Jan-2013 20:22:37]  <Yuna> "Maybe if we knew who her next victim might be...?"
[27-Jan-2013 20:22:42]  <IllFlower> everyone roll a Sharp challenge. 2d6+Sh.
[27-Jan-2013 20:22:43]  <Yuna> "I wonder if the fluffball could help."
[27-Jan-2013 20:22:49]  <Yuna> +roll 2d6+7
[27-Jan-2013 20:22:50]  <rollermine> Yuna: (1+3)+7=11
[27-Jan-2013 20:22:53]  <Miaka_Watanabe[Barcode]> ((rummaging for charsheets))
[27-Jan-2013 20:22:55]  <Sumire> +roll 2d6+6
[27-Jan-2013 20:22:56]  <rollermine> Sumire: (1+2)+6=9
[27-Jan-2013 20:23:11]  <Miaka_Watanabe[Barcode]> +roll 2d6+6
[27-Jan-2013 20:23:11]  <rollermine> Miaka_Watanabe[Barcode]: (3+1)+6=10
[27-Jan-2013 20:23:17]  <buttercupistiny> +roll 2d6+6
[27-Jan-2013 20:23:18]  <rollermine> buttercupistiny: (6+6)+6=18
[27-Jan-2013 20:23:24]  <IllFlower> nice job.
