[31-Jan-2013 02:18:00]  <IllFlower> and off we go.
[31-Jan-2013 02:18:30]  <IllFlower> Miaka finds herself sitting at a desk in an empty classroom, staring out of the windows, curtains blowing in the breeze.
[31-Jan-2013 02:18:44]  <Fiora> ((I thought that the sessions were noly for 3 people or something?))
[31-Jan-2013 02:18:50]  <Fiora> ((I'm slightly confused, did you mean you wanted my dialogue to carry it?))
[31-Jan-2013 02:18:59]  <IllFlower> it looks like it's early spring; not quite cherry blossom season, but still a nice day nonetheless.
[31-Jan-2013 02:19:01]  <Miaka_Watanabe_[Barcode]> ((the last like, three have had no player limit; be sure to check the header under the actual time!))
[31-Jan-2013 02:19:33]  <IllFlower> Fiora: the episode's not dependent on you; on the flip side, it's not structured in such a way that adding another player will have too big an impact.
[31-Jan-2013 02:19:38]  <Fiora> ah, okay
[31-Jan-2013 02:19:59]  <Fiora> ((I'll stay out then, don't want to hold up things))
[31-Jan-2013 02:20:15]  <IllFlower> (unrelatedly, this song sounds like Trent Reznor trying to do Beck.)
[31-Jan-2013 02:20:26]  <Miaka_Watanabe_[Barcode]> ((side note, mister flower, you should make sure to bold when the sessions have no player limit. also what, the flatline thing?))
[31-Jan-2013 02:20:34]  <IllFlower> Fiora: you wouldn't be, but it's up to you.
[31-Jan-2013 02:20:58]  <IllFlower> Miaka_Watanabe_[Barcode]: it's not about player limits. this is me just going "yeah, I don't care" at the last minute :p
[31-Jan-2013 02:21:06]  <Miaka_Watanabe_[Barcode]> ((heh. aight.))
[31-Jan-2013 02:21:40]  <IllFlower> "how are you feeling?" a female voice asks from somewhere behind Miaka.
[31-Jan-2013 02:23:03]  <Fiora> ((I meant, because I'm still at work ^^;;)
[31-Jan-2013 02:23:05]  <Miaka_Watanabe_[Barcode]> ((somethin' else coming, I presume...waitin'))
[31-Jan-2013 02:23:37]  <IllFlower> Miaka turns around to see a shifting silhouette, one that looks vaguely like another girl about her age. she's fairly tall, with hair about back-length, but any other distinguishing features are lost in her murky figure. **
[31-Jan-2013 02:24:06]  *** Saladofstones is now known as saladside2
[31-Jan-2013 02:24:13]  <Aoi> 14hi
[31-Jan-2013 02:24:16]  <Miaka_Watanabe_[Barcode]> ((assuming to take it in stride))
[31-Jan-2013 02:24:38]  <IllFlower> Aoi: that was fast.
[31-Jan-2013 02:25:00]  <Aoi> 14anything for the team, boss
[31-Jan-2013 02:26:05]  <Miaka_Watanabe_[Barcode]> "Iunno, my whole body feels...weird." Miaka scratches absently at the back of her head. "Head's fuzzy. Feel like if I were to get up and run right now I'd fall down three steps in, at any rate..."
[31-Jan-2013 02:26:15]  <Miaka_Watanabe_[Barcode]> "Sure is nice out, though...got no reason to move."
[31-Jan-2013 02:27:34]  <IllFlower> the silhouette takes a seat at the desk in front of Miaka. "and it doesn't look like this weather is going anywhere, so you don't have to rush." she giggles.
[31-Jan-2013 02:28:19]  <IllFlower> reaching back with her right arm, she brushes her hair back a bit, letting the low wind catch it.
[31-Jan-2013 02:28:47]  <Fiora> (Homura?)
[31-Jan-2013 02:29:00]  <IllFlower> "hey," she says, seeming to suddenly change the subject, "I wanted to ask you..." **
[31-Jan-2013 02:29:13]  <Aoi> 14canyousee
[31-Jan-2013 02:30:11]  <Miaka_Watanabe_[Barcode]> Watanabe had followed the silhouette as it went to the desk in front of her, but continued turning her head to look outside. She felt so drowsy. "Ask me what?"
[31-Jan-2013 02:30:54]  <IllFlower> "oh, uh... nothing, really. it's just that... I've been feeling kind of strange lately..." **
[31-Jan-2013 02:32:25]  <IllFlower> Fiora: "I whip my hair back and forth, I whip my hair back and forth, I whip my hair back and forth"
[31-Jan-2013 02:32:54]  *** Doc_Kraken <Mibbit@203.116.187.1> has joined #madokamadness
[31-Jan-2013 02:32:57]  <Miaka_Watanabe_[Barcode]> "You too, huh." Miaka slowly straightens out a little, trying to pick out activity outside.
[31-Jan-2013 02:33:17]  <IllFlower> "it's a little different..."
[31-Jan-2013 02:33:37]  <Aoi> 14HOW DO YOU KNOW HOW I FEEL ARE YOU A FISH
[31-Jan-2013 02:33:49]  <IllFlower> the figure reaches out and grabs Miaka's hand from the desk.
[31-Jan-2013 02:34:20]  <IllFlower> "it hurts a little bit right here..."
[31-Jan-2013 02:35:18]  <IllFlower> she takes Miaka's hand and places it on her shadowy chest. Miaka looks up in some confusion. a moment of silence passes.
[31-Jan-2013 02:35:37]  <IllFlower> "right here," she says, pressing it further in, as it bursts into flames.
[31-Jan-2013 02:35:49]  <Miaka_Watanabe_[Barcode]> ((welp))
[31-Jan-2013 02:36:41]  <IllFlower> Miaka's eyes grow wide, as the silhouette pulls her further and further in.
[31-Jan-2013 02:37:10]  <IllFlower> her entire field of vision turns red and orange, and the last thing Miaka hears is a whisper:
[31-Jan-2013 02:37:17]  <IllFlower> "you came too close --"
[31-Jan-2013 02:38:29]  <IllFlower> at that, Miaka positively bolts out of her bed.
[31-Jan-2013 02:38:42]  <Makoto> ((dohohoho))
[31-Jan-2013 02:39:28]  <IllFlower> she looks around. it seems to be mid-afternoon in the hospital. the room is largely empty, with the exception of a single IV drip and the usual monitoring machine whiling away in the corner.
[31-Jan-2013 02:40:18]  <IllFlower> there's a light rap at the door. Miaka can't tell who it is behind the sliding panels, but she can hazard a guess. **
[31-Jan-2013 02:40:40]  <Miaka_Watanabe_[Barcode]> (("Akira Maeda?"))
[31-Jan-2013 02:41:06]  <IllFlower> well, she *is* in a hospital.
[31-Jan-2013 02:41:09]  <Aoi> 14those giant evil dolls from Akira.
[31-Jan-2013 02:41:39]  <Miaka_Watanabe_[Barcode]> ((oh. oooh))
[31-Jan-2013 02:41:55]  <IllFlower> -_-
[31-Jan-2013 02:42:04]  <IllFlower> a normal hospital.
[31-Jan-2013 02:42:09]  <Miaka_Watanabe_[Barcode]> ((hold on :P))
[31-Jan-2013 02:42:35]  <Aoi> 14that was a normal hospital!  it's just that tetsuo was a fucking crazy godling.
[31-Jan-2013 02:42:42]  <Miaka_Watanabe_[Barcode]> Miaka raises her arms to rub at her eyes, stops halfway when she feels the pull of the IV. She lowers that arm but goes to work with the other. "...Mom?" she hazards.
[31-Jan-2013 02:42:44]  <Makoto> ((it was....................................DUMBLEDORE))
[31-Jan-2013 02:42:53]  <Makoto> ((or not))
[31-Jan-2013 02:44:17]  <IllFlower> a nurse gently slides open the door, revealing Miaka's mother standing next to her. "good guess," the nurse says. Miaka's mother just smiles.
[31-Jan-2013 02:45:37]  <IllFlower> both of them walk over to Miaka's bedside. the nurse -- her name tag reads "Arimiya" -- takes the usual glance at the medical equipment, writing some notes on a clipboard.
[31-Jan-2013 02:46:10]  <IllFlower> she's in and out fairly quickly, giving a short bow as she leaves.
[31-Jan-2013 02:47:43]  <IllFlower> Miaka's mother sits down, pulling a small box of snacks from her purse and handing them to her daughter. "here, Miaka. they're the chocolate ones," she says gently. **
